"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Billund";395178
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Esbjerg";364804
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Fanø";395474
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Fredericia";359712
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Haderslev";348980
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Kolding";383793
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Sønderborg";355181
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Tønder";341586
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Varde";374986
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Vejen";374832
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Vejle";400816
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Aabenraa";354327
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Favrskov";434634
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Hedensted";409624
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Horsens";376465
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Norddjurs";331422
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Odder";407788
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Randers";348869
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Samsø";322779
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Silkeborg";411763
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Skanderborg";464926
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Syddjurs";386830
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Aarhus";353292
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Herning";383771
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Holstebro";373848
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Ikast-Brande";377590
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Lemvig";370509
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Ringkøbing-Skjern";379176
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Skive";357116
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Struer";355977
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Viborg";382456
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Brønderslev";357436
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Frederikshavn";347223
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Hjørring";359525
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Jammerbugt";361467
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Læsø";305803
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Mariagerfjord";359999
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Morsø";335062
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Rebild";419775
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Thisted";356546
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Vesthimmerlands";344759
"1 Disposable income (2+30-31-32-35)";"Families, total";"Average income for all families (DKK)";"Aalborg";338625
